Gene	IPA_BP
AC010423.1	0.00
AC010441.1	0.00
AC010468.1	0.00
AC010468.2	0.00
AC010468.3	0.00
AC010492.2	0.00
AC010492.4	0.00
AC010492.5	0.00
AC010504.2	0.00
AC010518.3	0.00
AC010524.2	0.00
AC010524.4	0.00
AC010525.1	0.00
AC010525.4	0.00
AC010536.1	0.00
AC010547.9	0.00
AC010642.1	0.00
AC010642.2	0.00
AC010646.3	0.00
AC010649.1	0.00
AC010677.5	0.00
AC010731.2	0.00
AC010731.3	0.00
AC010731.6	0.00
AC010733.5	0.00
AC010733.7	0.00
AC010740.1	0.00
AC010746.3	0.00
AC010747.2	0.00
AC010761.13	0.00
AC010761.6	0.00
AC010761.8	0.00
AC010761.9	0.00
AC010878.3	0.00
AC010883.5	0.00
AC010884.1	0.00
AC010886.2	0.00
AC010890.1	0.00
AC010894.4	0.00
AC010894.5	0.00
AC010900.2	0.00
AC010904.1	0.00
AC010907.5	0.00
AC010969.1	0.00
AC010974.3	0.00
AC010975.1	0.00
AC010975.2	0.00
AC010976.2	0.00
AC010980.2	0.00
AC011225.1	0.00
AC011233.2	0.00
AC011239.1	0.00
AC011242.5	0.00
AC011242.6	0.00
AC011247.3	0.00
AC011284.3	0.00
AC011290.4	0.00
AC011290.5	0.00
AC011294.3	0.00
AC011298.1	0.00
AC011322.1	0.00
AC011366.3	0.00
AC011385.1	0.00
AC011385.2	0.00
AC011406.2	0.00
AC011431.1	0.00
AC011475.1	0.00
AC011484.1	0.00
AC011498.1	0.00
AC011500.1	0.00
AC011513.4	0.00
AC011515.2	0.00
AC011523.2	0.00
AC011530.4	0.00
AC011551.3	0.00
AC011558.5	0.00
AC011625.1	0.00
AC011738.4	0.00
AC011742.3	0.00
AC011742.5	0.00
AC011747.7	0.00
AC011753.6	0.00
AC011755.1	0.00
AC011816.1	0.00
AC011893.3	0.00
AC011897.1	0.00
AC011899.10	0.00
AC011899.9	0.00
AC011933.1	0.00
AC011997.1	0.00
AC011998.2	0.00
AC011999.1	0.00
AC012065.5	0.00
AC012066.1	0.00
AC012074.1	0.00
AC012075.1	0.00
AC012123.1	0.00
AC012146.7	0.00
AC012306.2	0.00
AC012313.1	0.00
AC012314.19	0.00
AC012314.20	0.00
AC012314.8	0.00
AC012354.8	0.00
AC012358.4	0.00
AC012358.7	0.00
AC012358.8	0.00
AC012360.1	0.00
AC012360.6	0.00
AC012363.10	0.00
AC012363.4	0.00
AC012363.7	0.00
AC012363.8	0.00
AC012365.3	0.00
AC012441.1	0.00
AC012454.4	0.00
AC012456.3	0.00
AC012456.4	0.00
AC012457.2	0.00
AC012462.1	0.00
AC012485.2	0.00
AC012487.2	0.00
AC012493.1	0.00
AC012493.2	0.00
AC012497.2	0.00
AC012499.1	0.00
AC012501.1	0.00
AC012501.3	0.00
AC012507.3	0.00
AC012507.4	0.00
AC012512.1	0.00
AC012513.4	0.00
AC012513.6	0.00
AC012594.1	0.00
AC012613.2	0.00
AC012615.1	0.00
AC012671.2	0.00
AC013262.1	0.00
AC013264.2	0.00
AC013267.1	0.00
AC013275.2	0.00
AC013394.2	0.00
AC013399.3	0.00
AC013403.13	0.00
AC013404.1	0.00
AC013410.1	0.00
AC013410.2	0.00
AC013429.4	0.00
AC013429.5	0.00
AC013436.6	0.00
AC013437.2	0.00
AC013437.6	0.00
AC013437.7	0.00
AC013439.4	0.00
AC013442.1	0.00
AC013444.1	0.00
AC013449.1	0.00
AC013460.1	0.00
AC013463.2	0.00
AC013467.1	0.00
AC013468.1	0.00
AC013469.1	0.00
AC013470.6	0.00
AC013470.8	0.00
AC013472.3	0.00
AC013472.4	0.00
AC013474.4	0.00
AC013480.2	0.00
AC013717.3	0.00
AC013718.1	0.00
AC013733.3	0.00
AC013733.5	0.00
AC015688.3	0.00
AC015691.13	0.00
AC015726.1	0.00
AC015815.2	0.00
AC015815.4	0.00
AC015815.5	0.00
AC015815.6	0.00
AC015815.7	0.00
AC015849.14	0.00
AC015849.19	0.00
AC015849.2	0.00
AC015871.1	0.00
AC015922.5	0.00
AC015922.7	0.00
AC015923.1	0.00
AC015933.2	0.00
AC015936.3	0.00
AC015969.3	0.00
AC015971.2	0.00
AC015977.5	0.00
AC015977.6	0.00
AC015987.1	0.00
AC015987.2	0.00
AC016292.1	0.00
AC016405.1	0.00
AC016561.1	0.00
AC016586.1	0.00
AC016629.8	0.00
AC016644.1	0.00
AC016683.5	0.00
AC016691.2	0.00
AC016696.1	0.00
AC016697.1	0.00
AC016697.2	0.00
AC016700.3	0.00
AC016700.6	0.00
AC016708.2	0.00
AC016712.1	0.00
AC016712.2	0.00
AC016716.1	0.00
AC016716.2	0.00
AC016717.1	0.00
AC016722.3	0.00
AC016722.4	0.00
AC016723.4	0.00
AC016724.6	0.00
AC016727.3	0.00
AC016732.2	0.00
AC016734.1	0.00
AC016734.2	0.00
AC016737.1	0.00
AC016738.3	0.00
AC016738.4	0.00
AC016739.1	0.00
AC016739.2	0.00
AC016747.3	0.00
AC016751.3	0.00
AC016753.7	0.00
AC016757.3	0.00
AC016772.4	0.00
AC016773.1	0.00
AC016831.3	0.00
AC016831.5	0.00
AC016831.6	0.00
AC016885.1	0.00
AC016894.1	0.00
AC016906.1	0.00
AC016907.2	0.00
AC016907.3	0.00
AC016908.1	0.00
AC016909.1	0.00
AC016910.1	0.00
AC016994.2	0.00
AC016999.2	0.00
AC017006.2	0.00
AC017006.3	0.00
AC017028.1	0.00
AC017035.2	0.00
AC017076.5	0.00
AC017078.1	0.00
AC017079.3	0.00
AC017079.4	0.00
AC017080.1	0.00
AC017081.1	0.00
AC017081.2	0.00
AC017083.2	0.00
AC017101.10	0.00
AC017104.2	0.00
AC017104.4	0.00
AC017104.6	0.00
AC018442.1	0.00
AC018445.1	0.00
AC018462.2	0.00
AC018463.4	0.00
AC018463.5	0.00
AC018470.1	0.00
AC018512.1	0.00
AC018638.1	0.00
AC018641.7	0.00
AC018643.4	0.00
AC018693.5	0.00
AC018693.6	0.00
AC018705.5	0.00
AC018712.2	0.00
AC018717.2	0.00
AC018720.10	0.00
AC018735.1	0.00
AC018755.1	0.00
AC018755.16	0.00
AC018755.2	0.00
AC018766.4	0.00
AC018766.5	0.00
AC018766.6	0.00
AC018804.6	0.00
