geneId	geneSymbol	score	humanScore	mouseScore	fishScore	ppiScore	Candidate Matches		
2668	GDNF	0.914289386	0.914289386	0.855397621	0	0	FALSE		
4149	MAX	0.914289386	0.914289386	0	0	0.501612103	FALSE		
55654	TMEM127	0.914289386	0.914289386	0	0	0.52529165	FALSE		
7410	VAV2	0.913607756	0	0.913607756	0	0	FALSE		
1843	DUSP1	0.913254607	0	0.913254607	0	0.504102662	FALSE		
2281	FKBP1B	0.91205832	0	0.91205832	0	0.506186333	FALSE		
94	ACVRL1	0.908297311	0.900502883	0.908297311	0	0.508220324	FALSE		
774	CACNA1B	0.908297311	0	0.908297311	0	0.505420509	FALSE		
4358	MPV17	0.908297311	0	0.908297311	0	0.500141697	FALSE		
186	AGTR2	0.90767796	0	0.90767796	0	0.510586067	FALSE		
6517	SLC2A4	0.906644289	0	0.906644289	0	0.502838457	FALSE		
8518	ELP1	0.90638417	0.90638417	0.494209116	0	0.502873841	FALSE		
57514	ARHGAP31	0.900502883	0.900502883	0	0	0.501882911	FALSE		
8815	BANF1	0.900502883	0.900502883	0	0	0.519536406	FALSE		
659	BMPR2	0.900502883	0.900502883	0.645615686	0	0.515163662	FALSE		
776	CACNA1D	0.900502883	0.900502883	0.49080455	0	0.514164793	FALSE		
2294	FOXF1	0.900502883	0.900502883	0.467389616	0	0.500094052	FALSE		
2629	GBA	0.900502883	0.900502883	0.514240382	0	0.50153938	FALSE		
2697	GJA1	0.900502883	0.900502883	0.570663532	0	0.523445917	FALSE		
3875	KRT18	0.900502883	0.900502883	0	0	0.515557193	FALSE		
3856	KRT8	0.900502883	0.900502883	0.479453267	0	0.517340127	FALSE		
4512	MT-CO1	0.900502883	0.900502883	0.526154205	0	0.514494501	FALSE		
4513	MT-CO2	0.900502883	0.900502883	0	0	0.506468365	FALSE		
4514	MT-CO3	0.900502883	0.900502883	0	0	0.50560379	FALSE		
4535	MT-ND1	0.900502883	0.900502883	0	0	0.509498267	FALSE		
4538	MT-ND4	0.900502883	0.900502883	0	0	0.505234512	FALSE		
4540	MT-ND5	0.900502883	0.900502883	0	0	0.504906611	FALSE		
4541	MT-ND6	0.900502883	0.900502883	0	0	0.50430408	FALSE		
4784	NFIX	0.900502883	0.900502883	0	0	0.503156582	FALSE		
27247	NFU1	0.900502883	0.900502883	0	0	0.500159716	FALSE		
64127	NOD2	0.900502883	0.900502883	0	0	0.512384431	FALSE		
51025	PAM16	0.900502883	0.900502883	0	0	0.50022626	FALSE		
23327	NEDD4L	0.899703515	0	0.899703515	0	0.511653769	FALSE		
1813	DRD2	0.897572805	0	0.897572805	0	0.511404516	FALSE		
4878	NPPA	0.89609491	0	0.89609491	0	0.606393941	FALSE		
57545	CC2D2A	0.894080968	0.894080968	0.494209116	0	0.540154174	FALSE		
4352	MPL	0.894080968	0.894080968	0.395367293	0	0.508043786	FALSE		
23322	RPGRIP1L	0.894080968	0.894080968	0.360919308	0	0.523322525	FALSE		
54790	TET2	0.894080968	0.894080968	0	0	0.50103283	FALSE		
91147	TMEM67	0.894080968	0.894080968	0	0	0.541211873	FALSE		
3845	KRAS	0.893031585	0.615881762	0.893031585	0	0.510667141	FALSE		
3667	IRS1	0.888445273	0	0.888445273	0	0.511955547	FALSE		
128	ADH5	0.887688063	0	0.887688063	0	0.505590145	FALSE		
680	BRS3	0.887688063	0	0.887688063	0	0.501206894	FALSE		
7809	BSND	0.887688063	0	0.887688063	0	0.599769294	FALSE		
1028	CDKN1C	0.887688063	0	0.887688063	0	0.500370786	FALSE		
1536	CYBB	0.887688063	0	0.887688063	0	0.50677351	FALSE		
23576	DDAH1	0.887688063	0	0.887688063	0	0.500084011	FALSE		
1906	EDN1	0.887688063	0	0.887688063	0	0.514289928	FALSE		
2346	FOLH1	0.887688063	0	0.887688063	0	0	FALSE		
3251	HPRT1	0.887688063	0	0.887688063	0	0.504361516	FALSE		
3758	KCNJ1	0.887688063	0.788605401	0.887688063	0	0.541864179	FALSE		
3778	KCNMA1	0.887688063	0	0.887688063	0	0.517902844	FALSE		
5126	PCSK2	0.887688063	0	0.887688063	0	0	FALSE		
5420	PODXL	0.887688063	0	0.887688063	0	0.502899301	FALSE		
151742	PPM1L	0.887688063	0	0.887688063	0	0.500038795	FALSE		
5972	REN	0.887688063	0.816284141	0.887688063	0	0.528024053	FALSE		
5997	RGS2	0.887688063	0	0.887688063	0	0.502589771	FALSE		
6559	SLC12A3	0.887688063	0.816284141	0.887688063	0	0.539140996	FALSE		
6801	STRN	0.887688063	0	0.887688063	0	0.500275397	FALSE		
7133	TNFRSF1B	0.887688063	0	0.887688063	0	0.500502379	FALSE		
65267	WNK3	0.887688063	0	0.887688063	0	0.524802154	FALSE		
2271	FH	0.88640526	0.88640526	0	0	0.511728706	FALSE		
4191	MDH2	0.88640526	0.88640526	0	0	0	FALSE		
